Ba062AA008655,BdTR3H      100
Ba024AB008764,Kah-6      20
Ba062AB008949,BdTR3H      20
Ba052AB009086,BdTR2K      20
Ba143AA008442,Per1      100
Ba025AA008471,Koz-2      100
Ba063AB009097,BdTR3I      20
Ba143AB009030,Per1      20
Ba026AA008472,Koz-3      100
Br002AA009313,Bd21-3      100
Ba137AA008289,Jer1      100
Ba029AA008181,Tek-5      100
Ba053AA008499,BdTR2M      100
Ba063AA008362,BdTR3I      100
Ba063AB008950,BdTR3I      20
Ba061AA008654,BdTR3F      100
Br002AA009320,Bd21-3      100
Ba059AB009093,BdTR3A      20
Ba025AA008177,Koz-2      100
Ba141AA008440,Sig2      100
Ba024AA008323,Kah-6      100
Ba044AA008196,BdTR2C      100
Ba060AB009094,BdTR3B      20
Ba049AA008642,BdTR2H      100
Ba022AA008174,Kah-2      100
Ba136AA008435,Yaz3      100
Ba062AA008508,BdTR3H      100
Ba024AA008470,Kah-6      100
Ba028AA008621,Tek-4      100
Ba142AA008735,Mon1      100
Ba054AA008500,BdTR2N      100
Ba084AB009118,BDTR8N      20
Ba141AA008587,Sig2      100
Ba143AB008883,Per1      20
Ba028AB008768,Tek-4      20
Ba021AA008320,Gaz-8      100
Ba137AB009024,Jer1      20
Ba024AB008911,Kah-6      20
Ba077AA008229,BdTR5J      100
Ba022AB008909,Kah-2      20
Ba057AB008944,BdTR2R      20
Ba059AB008946,BdTR3A      20
Ba053AB009087,BdTR2M      20
Ba053AA008352,BdTR2M      100
Ba061AB008948,BdTR3F      20
Ba024AA008617,Kah-6      100
Ba022AA008615,Kah-2      100
Ba076AB008963,BdTR5I      20
Ba055AA008648,BdTR2O      100
Ba064AB008951,BdTR3M      20
Ba076AA008228,BdTR5I      100
Ba050AA008202,BdTR2I      100
Ba055AB008942,BdTR2O      20
Ba021AB008761,Gaz-8      20
Ba052AB008939,BdTR2K      20
Ba026AA008619,Koz-3      100
Ba026AB008913,Koz-3      20
Ba061AA008507,BdTR3F      100
Ba025AB009059,Koz-2      20
Ba052AB008792,BdTR2K      20
Ba025AA008618,Koz-2      100
Ba063AB008803,BdTR3I      20
Ba062AA008214,BdTR3H      100
Ba059AA008652,BdTR3A      100
Ba141AB009175,Sig2      20
Ba023AA008469,Kah-3      100
Ba142AA008441,Mon1      100
Ba067AB008954,BdTR3P      20
Ba029AA008328,Tek-5      100
Ba021AB008908,Gaz-8      20
Ba061AB008801,BdTR3F      20
Ba137AA008730,Jer1      100
Ba026AA008178,Koz-3      100
Ba046AB008786,BdTR2E      20
Ba024AB009058,Kah-6      20
Ba140AB008880,Luc1      20
Ba055AA008354,BdTR2O      100
Ba141AA008293,Sig2      100
Ba147AB009181,Pal3      20
Ba053AB008793,BdTR2M      20
Ba029AA008475,Tek-5      100
Br002AA009309,Bd21-3      100
Ba023AB008910,Kah-3      20
Ba061AB009095,BdTR3F      20
Ba057AB008797,BdTR2R      20
Ba021AA008614,Gaz-8      100
Ba053AB008940,BdTR2M      20
Ba063AA008656,BdTR3I      100
Ba022AA008321,Kah-2      100
Ba143AA008736,Per1      100
Ba057AA008503,BdTR2R      100
Ba052AA008645,BdTR2K      100
Ba026AA008325,Koz-3      100
Ba141AB009028,Sig2      20
Ba025AB008912,Koz-2      20
Ba055AB008795,BdTR2O      20
Ba141AB008881,Sig2      20
Ba141AA008734,Sig2      100
Ba055AA008501,BdTR2O      100
Ba021AB009055,Gaz-8      20
Ba029AB008769,Tek-5      20
Ba028AA008327,Tek-4      100
Br001AA009403,Bd21-0      100
Br002AB009359,Bd21-3      20
Ba052AA008204,BdTR2K      100
Br002AB009369,Bd21-3      20
Br002AA009318,Bd21-3      100
Br002AA009332,Bd21-3      100
Ba061AA008213,BdTR3F      100
Ba062AA008361,BdTR3H      100
Br002AA009315,Bd21-3      100
Ba063AA008509,BdTR3I      100
Ba137AA008583,Jer1      100
Ba059AA008505,BdTR3A      100
Br002AB009361,Bd21-3      20
Ba024AA008176,Kah-6      100
Ba053AA008205,BdTR2M      100
Ba067AA008513,BdTR3P      100
Ba057AA008356,BdTR2R      100
Br001AA009192,Bd21-0      100
Br001AB009452,Bd21-0      20
Ba053AA008646,BdTR2M      100
Ba137AB008877,Jer1      20
Ba059AA008211,BdTR3A      100
Ba081AB008968,BdTR5O      20
Ba056AA008502,BdTR2P      100
Br002AB009372,Bd21-3      20
Ba058AA008210,BdTR2S      100
Ba083AB009117,BDTR8M      20
Br001AB009440,Bd21-0      20
Ba082AA008234,BdTR8A      100
Ba042AB009076,BdTR1N      20
Br002AA009319,Bd21-3      100
Br001AA009201,Bd21-0      100
Br002AA009316,Bd21-3      100
Br002AA009317,Bd21-3      100
Br002AA009265,Bd21-3      100
Br001AA009204,Bd21-0      100
Ba058AA008651,BdTR2S      100
Br002AA009314,Bd21-3      100
