Ba014AA0012756,Adi-18    100
Ba007AB0012792,Adi-7     20
Ba148AB0013696,BdTR9H     20
Ba031AA0013181,BdTR1B    100
Ba018AB0013584,Gaz-4     20
Ba014AA0012753,Adi-18    100
Ba087AB0013534,BDTR9G    20
Ba011AB0012737,Adi-14    20
Ba093AB0012960,BDTR10D   20
Ba017AB0013577,Gaz-3     20
Ba034AB0013204,BdTR1E    20
Ba083AA0013517,BDTR8M    100
Ba148AA0013693,BdTR9H     100
Ba029AA0013679,Tek-5     100
Ba028AB0013675,Tek-4     20
Ba007AA0012788,Adi-7     100
Ba020AB0013596,Gaz-7     20
Ba003AA0012763,Adi-2     100
Ba081AB0013506,BdTR5O    20
Ba029AA0013676,Tek-5     100
Ba001AA0012824,Bd1-1     100
Ba013AA0012746,Adi-17    100
Ba076AB0013472,BdTR5I    20
Ba022AA0013608,Kah-2     100
Ba043AB0013261,BdTR2B    20
Ba030AA0013174,BdTR1A    100
Ba042AA0013251,BdTR1N    100
Ba051AB0013317,BdTR2J    20
Ba033AB0013199,BdTR1D    20
Ba016AB0013569,Gaz-2     20
Ba046AB0013282,BdTR2E    20
Ba047AA0013286,BdTR2F    100
Ba041AA0013245,BdTR1M    100
Ba025AB0013625,Koz-2     20
Ba091AA0012950,BDTR10B   100
Ba014AA0012754,Adi-18    100
Ba075AA0013460,BdTR5H    100
Ba148AA0013691,BdTR9H     100
Ba087AA0013532,BDTR9G    100
Ba077AA0013476,BdTR5J    100
Ba012AB0012744,Adi-15    20
Ba021AA0013602,Gaz-8     100
Ba047AA0013284,BdTR2F    100
Ba005AB0012778,Adi-4     20
Ba041AB0013247,BdTR1M    20
Br002AB0012916,Bd21-3    20
Ba083AB0013521,BDTR8M    20
Ba015AB0013554,Bis-1     20
Ba006AA0012784,Adi-5     100
Ba051AB0013316,BdTR2J    20
Ba049AA0013299,BdTR2H    100
Ba024AB0013618,Kah-6     20
Ba034AA0013203,BdTR1E    100
Br001AA0013724,Bd21-0    100
Ba074AA0013453,BdTR5G    100
Ba018AB0013582,Gaz-4     20
Ba017AB0013576,Gaz-3     20
Ba031AB0013185,BdTR1B    20
Ba032AB0013191,BdTR1C    20
Ba036AA0013209,BdTR1G    100
Br002AB0013780,Bd21-3    20
Ba093AA0012957,BDTR10D   100
Br002AB0013779,Bd21-3    20
Br001AB0012882,Bd21-0    20
Ba047AA0013287,BdTR2F    100
Ba010AA0012726,Adi-13    100
Ba008AA0012798,Adi-8     100
Ba007AA0012790,Adi-7     100
Ba003AB0012764,Adi-2     20
Ba004AA0012767,Adi-3     100
Ba011AA0012734,Adi-14    100
Br001AA0013725,Bd21-0    100
Ba083AA0013515,BDTR8M    100
Ba077AB0013479,BdTR5J    20
Ba033AB0013198,BdTR1D    20
Ba019AB0013590,Gaz-5     20
Ba052AA0013322,BdTR2K    100
Ba008AB0012800,Adi-8     20
Ba020AB0013598,Gaz-7     20
Br001AA0013726,Bd21-0    100
Ba052AB0013325,BdTR2K    20
Ba018AB0013583,Gaz-4     20
Ba051AA0013315,BdTR2J    100
Ba017AA0013571,Gaz-3     100
Ba012AB0012745,Adi-15    20
Ba016AA0013565,Gaz-2     100
Ba004AB0012771,Adi-3     20
Ba024AA0013614,Kah-6     100
