"Accession" "Drought" "Heat" "Heat.Drought"
"49" "BdTR13C" -7.51002020971637 -64.4572066208605 0.571658621507
"50" "BdTR13D" -7.24991823487633 -55.1994970011311 2.06978575513766
"51" "BdTR13E" -12.883926495009 -40.7104827585674 -1.1704391342956
"52" "BdTR13F" -4.99134979892777 -37.1928539269393 0.760131249162933
"53" "BdTR13G" -11.4631669562835 -15.907281204157 0.214736922397726
"54" "BdTR13H" -4.01854818247999 -20.1025579851099 2.24856717208124
"55" "BdTR13J" -7.69400804125909 -21.9283707116331 0.826713331982207
"56" "BdTR13K" -6.04049573647554 -42.0963432456137 0.14014059239782
"57" "BdTR13M" -4.37069841035702 -43.2290304350357 0.363103425570847
"58" "BdTR13N" -7.89104791366206 0.359723765823793 -1.78204085781107
"59" "BdTR13O" -6.88844487452061 -38.6565369376866 1.41890597830854
"60" "BdTR1A" -3.02355613585795 -81.6585486087067 -0.609214376139406
"61" "BdTR1B" -5.91051862181891 -31.8439869647647 -3.5652568322047
"62" "BdTR1C" -5.36961151005912 -16.4383853117625 -32.610314951709
"63" "BdTR1D" -7.56929790574987 -40.5013503544877 -3.05705621416461
"64" "BdTR1E" -5.64564710441948 3.0593398443505 -3.85889832924392
"65" "BdTR1G" -10.9090667494777 -66.7967015827112 -3.35346651551817
"66" "BdTR1I" -10.3957885462378 -36.0008689811792 -1.89457546007817
"67" "BdTR1J" -10.207934257745 0.346207473449329 0.515049395168667
"68" "BdTR1K" -5.19742647395525 -38.6232341948027 -4.59701944440419
"69" "BdTR1M" -2.93615462425254 -13.6846873152644 0.451862299420572
"70" "BdTR1N" -11.4834859343267 -40.632535215892 -1.96415530079452
"71" "BdTR2B" -7.68025067283466 -36.0327677514698 -6.24674239565631
"72" "BdTR2C" -5.36941111273831 -33.492902060849 -0.0545484500208691
"73" "BdTR2D" -7.64297766767127 -19.9787174934495 -2.32842376927331
"74" "BdTR2E" -16.7283700444044 -28.9388949642715 -1.97397670274593
"75" "BdTR2F" -4.99120238663311 -44.4707834479931 -1.06911129110298
"76" "BdTR2G" -8.53905245520123 -44.3948604212615 -7.63506936691831
"77" "BdTR2H" -6.3241342710734 -13.0793913759418 -1.37547623783664
"78" "BdTR2I" -4.46417698094656 -13.6485144833326 -2.12220103476398
"79" "BdTR2J" -6.82905979189434 -47.2976718424512 -1.29900943429561
"80" "BdTR2K" -5.1707252918653 -33.8898307738052 -2.55376538223978
"81" "BdTR2M" -5.8382171853103 -40.7147568127187 -0.419577578721215
"82" "BdTR2N" -3.31192583455793 -40.9357633824987 -2.51297437889519
"83" "BdTR2O" -4.70102205376054 -17.6705362737135 -3.49107569446941
"84" "BdTR2P" -4.50235276516182 -16.9961282566352 -4.69356512720992
"85" "BdTR2R" -6.50573606027752 -8.21601517762549 -1.67419433747265
"86" "BdTR2S" -5.38423898172176 4.42241054113442 -3.48846148577928
"87" "BdTR3A" -6.44814251137251 -3.46066852354203 -4.98038429944086
"88" "BdTR3B" -6.84503788669186 -3.28596224724556 -1.09455702066036
"89" "BdTR3I" -4.49155541409233 -11.3315307130416 -3.94954504936228
"90" "BdTR3M" -4.49367743099045 -0.00591844321102641 -3.67267241978767
"91" "BdTR3N" -5.68679325094584 -5.9659176733325 -0.84555183758181
"92" "BdTR3O" -6.1575183450597 -2.38049935095058 -1.80486487473661
