"Accession" "Drought" "Heat" "Heat.Drought"
"35" "BdTR10M" 6.26856101677512 10.8393606290725 10.3024279354083
"36" "BdTR11A" 6.90746638035069 8.26224287660723 9.97996387393134
"37" "BdTR11B" 0.265034681260463 4.22239015263577 4.39306114916477
"38" "BdTR11C" 6.77494903972046 9.84485223125285 11.0041979988463
"39" "BdTR11D" 3.35906918249365 8.21625907051064 7.96677226573735
"40" "BdTR11E" 3.44152441666357 7.15051429294446 7.96677948347449
"41" "BdTR11F" 4.35834809183865 7.68997279693454 7.37731743996545
"42" "BdTR11G" 2.80740440149967 6.73992148592613 8.07573353006651
"43" "BdTR11H" 2.98532120141987 6.8564299819774 7.97433949744238
"44" "BdTR11I" 3.06041436111034 7.66031411459422 8.2975051525692
"45" "BdTR12A" 5.28817809859408 10.7737271753043 11.8661374586902
"46" "BdTR12B" 4.32337823806123 6.92338372376883 8.51795502071123
"47" "BdTR13A" 3.25919037205568 8.55004882487073 9.40282427951393
"48" "BdTR13B" 5.03749946256857 8.73420147150573 9.72345577057195
"49" "BdTR13C" 9.87622291419177 10.7030677475663 12.2005681042078
"50" "BdTR13D" 6.85887668878627 10.0017175302086 10.0729994744295
"51" "BdTR13E" 7.71582215819508 8.11835881025272 10.7131954382955
"52" "BdTR13F" 4.20816177245771 7.45396030045944 9.614150927155
"53" "BdTR13G" 7.72036210412408 12.2204819583689 13.0862967930525
"54" "BdTR13H" 6.96403165260118 8.38652836145276 8.84319642686821
"55" "BdTR13J" 6.95531986446714 8.00274588021931 9.24554368007139
"56" "BdTR13K" 8.20208717756323 9.82025563791808 11.3418064066342
"57" "BdTR13M" 5.48143255367983 9.40718770911471 9.58075634565269
"58" "BdTR13N" 9.78824612416228 9.86480141571569 12.3761860114998
"59" "BdTR13O" 2.79169864261016 6.46856662438697 7.44623036341726
"60" "BdTR1A" 1.61413482962098 7.76967640290674 5.97198054133474
"61" "BdTR1B" 5.02044399002448 9.84437661444569 10.9179522377733
"62" "BdTR1C" 6.87556405760637 9.18572049932828 11.5707679907208
"63" "BdTR1D" 5.47983743754262 7.49746802710607 9.24822212053257
"64" "BdTR1E" 2.72028652015942 5.80720965180306 7.3197777364913
"65" "BdTR1G" 4.19454193467072 7.03823928244537 7.04693220247231
"66" "BdTR1I" -0.0316569202616659 4.57525529574285 5.85804052771887
"67" "BdTR1J" 5.09050639882065 7.29194131518691 8.36696575851897
"68" "BdTR1K" 3.73257176108479 7.68290886113906 8.04453433425993
"69" "BdTR1M" 3.74238786039074 8.20069356790279 7.09640296048002
"70" "BdTR1N" 4.66608280507995 7.16686311472266 7.63830914418392
"71" "BdTR2B" 4.82277229025106 6.32758573334997 8.56166618027455
"72" "BdTR2C" 1.26259577322691 5.65533298503493 5.47944623648977
"73" "BdTR2D" 0.553996104579149 3.31393561625172 3.85637382593301
"74" "BdTR2E" 0.908479990765034 4.82599297405216 5.12850659098981
"75" "BdTR2F" 2.95660911095 4.96637182108152 4.94058282500159
"76" "BdTR2G" 2.3180718510984 8.90592076731845 9.40547390486683
"77" "BdTR2H" 0.14380585483206 3.27935618007307 4.59836191216136
"78" "BdTR2I" 1.90530487528351 7.32695150624188 7.04008514535273
"79" "BdTR2J" 3.86386208930176 6.58955032852416 5.98365380264617
"80" "BdTR2K" 2.075000692035 7.55168552055674 7.71018642904802
"81" "BdTR2M" 2.42948457822087 4.51166628694371 4.95123827630617
"82" "BdTR2N" 1.40370220074982 4.17908896736184 5.25266459068941
"83" "BdTR2O" 5.23075391765431 7.40068789764147 9.05842774677967
"84" "BdTR2P" 1.79241973326518 6.69957328490596 7.37762104700758
"85" "BdTR2R" 1.68297022600392 4.02766699465322 6.10469535309101
"86" "BdTR2S" 3.21231849786981 6.54631722373055 8.13074678064152
"87" "BdTR3A" 5.46634030099694 10.2350985488041 11.8331470137573
"88" "BdTR3B" 4.96792785873768 9.29534286803893 10.4990225277698
"89" "BdTR3I" 5.36302585580191 9.59872577697928 11.3938137625432
