"","Accession","Country","Latitude","Longitude","Elevation","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","euclid"
"70","BdTR3T","Turkey",37.458889,41.244167,975,165,120,31,9422,381,-4,385,56,286,286,47,670,101,0,75,301,4,8,299,0.00397693195537417
"71","BdTR5A","Turkey",36.766389,44.535278,886,168,124,31,9520,380,-8,388,57,289,289,47,768,153,0,89,426,1,1,390,0.0044790183076168
"72","BdTR5B","Turkey",37.778611,35.202778,3196,-2,106,32,7520,175,-151,326,-15,89,90,-101,719,94,13,51,273,46,81,249,0.00149571406213944
"73","BdTR5E","Turkey",37.778333,31.885,1288,100,116,35,7520,279,-50,329,3,192,196,3,505,74,9,48,201,35,50,201,0.00263533681170822
"74","BdTR5G","Turkey",39.756389,32.432222,787,120,123,36,7524,305,-31,336,21,212,215,21,366,47,9,39,121,37,54,121,0.00377807189209965
"75","BdTR5H","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"76","BdTR5I","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"77","BdTR5J","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"78","BdTR5K","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"79","BdTR5M","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"80","BdTR5N","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"81","BdTR5O","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"82","BdTR8A","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"83","BdTR8M","Turkey",39.092222,35.188611,1249,87,131,38,7137,270,-70,340,81,171,175,-9,406,55,7,45,150,32,55,123,0.00377836597542273
"84","BdTR8N","Turkey",38.404722,35.159444,1086,110,129,38,7240,295,-42,337,102,198,200,14,395,54,5,48,150,26,45,121,0.00310604750625004
"85","BdTR9A","Turkey",39.7475,36.815833,1574,83,128,36,7628,273,-79,352,78,173,175,-21,428,62,7,47,165,32,55,124,0.00372648182309756
"86","BdTR9E","Turkey",38.093056,28.583056,841,138,116,38,6942,308,3,305,51,225,228,51,703,141,9,70,359,40,44,359,0.00477917296420562
"87","BdTR9G","Turkey",39.759444,29.678056,1007,100,107,37,6470,258,-31,289,15,177,180,15,676,100,16,44,261,65,79,261,0.00325157138081239
"88","BdTR9H","Turkey",39.086667,30.2525,1076,106,114,36,7056,279,-33,312,14,192,195,14,486,64,12,38,166,49,68,166,0.00186324093393191
"89","BdTR9I","Turkey",38.099722,30.245556,1034,121,122,38,7043,300,-18,318,32,211,212,32,505,73,11,44,192,43,59,192,0.00389854360273668
"90","BdTR9K","Turkey",39.753056,30.788611,932,104,108,34,7307,274,-38,312,95,193,196,8,429,54,12,37,140,46,69,138,0.0015709555832387
"91","BdTR10A","Turkey",38.429722,31.309444,1301,103,110,35,7074,275,-35,310,12,190,193,12,539,67,13,41,185,47,73,185,0.00310604750624877
"92","BdTR10B","Turkey",38.428056,32.404722,1012,107,132,38,7445,296,-48,344,98,197,201,9,366,49,6,45,133,26,40,113,0.00124176308352513
"93","BdTR10C","Turkey",37.778333,31.885,1288,100,116,35,7520,279,-50,329,3,192,196,3,505,74,9,48,201,35,50,201,0.00263533681170822
"94","BdTR10D","Turkey",40.393611,32.985278,1596,66,102,33,7218,230,-77,307,-31,153,154,-31,636,84,20,41,222,67,100,222,0.00314261824666636
"95","BdTR10E","Turkey",37.1175,39.030556,448,180,130,34,8818,390,16,374,68,291,294,68,435,78,0,78,219,2,4,219,0.00361128207454366
"96","BdTR10F","Turkey",37.761667,39.5825,1156,147,112,29,9535,356,-23,379,26,269,269,26,673,108,2,71,299,8,8,299,0.00343584052466082
"97","BdTR10H","Turkey",38.095556,40.658611,688,156,131,32,9510,381,-20,401,47,277,278,34,589,87,1,69,250,7,11,244,0.003898876091615
"98","BdTR10I","Turkey",37.458889,41.244167,975,165,120,31,9422,381,-4,385,56,286,286,47,670,101,0,75,301,4,8,299,0.00397693195537417
"99","BdTR10J","Turkey",37.797778,41.773611,612,176,123,31,9316,394,6,388,69,295,295,57,657,100,1,73,290,7,9,283,0.00339074631252353
"100","BdTR10K","Turkey",38.096944,42.321944,1713,96,100,28,8671,289,-58,347,24,208,208,-12,889,130,4,65,375,18,18,336,0.00157071986332444
"101","BdTR10M","Turkey",41.421667,27.476944,124,128,110,37,6668,291,-4,295,60,208,212,42,599,80,18,38,229,74,86,204,0.00237386756632042
"102","BdTR11A","Turkey",38.416667,28.031389,986,118,116,38,6839,290,-14,304,34,204,207,34,816,162,11,70,413,44,49,413,0.00472198039899367
"103","BdTR11B","Turkey",41.421667,27.476944,124,128,110,37,6668,291,-4,295,60,208,212,42,599,80,18,38,229,74,86,204,0.00237386756632042
"104","BdTR11C","Turkey",41.085278,26.931389,141,134,109,36,6820,299,0,299,64,216,221,48,666,94,17,42,259,73,81,245,0.00314261824666636
"105","BdTR11D","Turkey",37.458889,41.244167,975,165,120,31,9422,381,-4,385,56,286,286,47,670,101,0,75,301,4,8,299,0.00397693195537417
"106","BdTR11E","Turkey",37.797778,41.773611,612,176,123,31,9316,394,6,388,69,295,295,57,657,100,1,73,290,7,9,283,0.00339074631252353
"107","BdTR11F","Turkey",38.096944,42.321944,1713,96,100,28,8671,289,-58,347,24,208,208,-12,889,130,4,65,375,18,18,336,0.00157071986332444
"108","BdTR11G","Turkey",41.421667,27.476944,124,128,110,37,6668,291,-4,295,60,208,212,42,599,80,18,38,229,74,86,204,0.00237386756632042
"109","BdTR11H","Turkey",41.085278,26.931389,141,134,109,36,6820,299,0,299,64,216,221,48,666,94,17,42,259,73,81,245,0.00314261824666636
"110","BdTR11I","Turkey",39.738056,28.040278,363,132,109,36,6834,295,0,295,64,216,220,46,671,112,12,56,292,50,53,290,0.00283309371535773
"111","BdTR12A","Turkey",36.783056,32.963056,1957,76,101,33,7251,240,-64,304,-18,165,167,-18,648,109,9,60,293,31,50,293,0.00392887385615277
"112","BdTR12B","Turkey",40.405556,34.636111,1088,96,121,37,7277,274,-52,326,132,183,186,-1,466,64,11,41,164,48,76,146,0.00196457835451473
"113","BdTR13A","Turkey",39.756389,32.432222,787,120,123,36,7524,305,-31,336,21,212,215,21,366,47,9,39,121,37,54,121,0.00377807189209965
"114","BdTR13B","Turkey",39.754444,33.537778,872,113,114,34,7718,292,-36,328,106,207,210,11,401,55,7,44,138,33,52,135,0.000392680248753019
"115","BdTR13C","Turkey",39.412778,32.988056,1192,101,113,34,7758,282,-49,331,93,196,198,-2,396,56,6,46,142,30,46,133,0.000621626897748418
"116","BdTR13D","Turkey",37.767778,33.519722,1013,108,141,39,7505,300,-53,353,103,198,203,9,313,43,3,49,115,16,28,104,0.00325117264310536
"117","BdTR13E","Turkey",37.108889,34.071389,2385,50,107,33,7338,223,-94,317,-45,140,143,-45,581,82,9,52,218,32,55,218,0.00365350331113628
"118","BdTR13F","Turkey",39.092222,35.188611,1249,87,131,38,7137,270,-70,340,81,171,175,-9,406,55,7,45,150,32,55,123,0.00377836597542273
"119","BdTR13G","Turkey",38.404722,35.159444,1086,110,129,38,7240,295,-42,337,102,198,200,14,395,54,5,48,150,26,45,121,0.00310604750625004
